DP,DPNOM,MPIO,DPMP,ANNO,AreaGeografica,Poblacion
05,Antioquia,05001,Medellín,2020,Cabecera Municipal,"2,476,569"
05,Antioquia,05001,Medellín,2020,Centros Poblados y Rural Disperso,"43,023"
05,Antioquia,05001,Medellín,2020,Total,"2,519,592"
05,Antioquia,05001,Medellín,2021,Cabecera Municipal,"2,506,656"
05,Antioquia,05001,Medellín,2021,Centros Poblados y Rural Disperso,"42,352"
05,Antioquia,05001,Medellín,2021,Total,"2,549,008"
05,Antioquia,05001,Medellín,2022,Cabecera Municipal,"2,530,398"
05,Antioquia,05001,Medellín,2022,Centros Poblados y Rural Disperso,"41,952"
05,Antioquia,05001,Medellín,2022,Total,"2,572,350"
05,Antioquia,05001,Medellín,2023,Cabecera Municipal,"2,553,621"
05,Antioquia,05001,Medellín,2023,Centros Poblados y Rural Disperso,"41,679"
05,Antioquia,05001,Medellín,2023,Total,"2,595,300"
05,Antioquia,05001,Medellín,2024,Cabecera Municipal,"2,574,994"
05,Antioquia,05001,Medellín,2024,Centros Poblados y Rural Disperso,"41,341"
05,Antioquia,05001,Medellín,2024,Total,"2,616,335"
05,Antioquia,05001,Medellín,2025,Cabecera Municipal,"2,593,542"
05,Antioquia,05001,Medellín,2025,Centros Poblados y Rural Disperso,"41,028"
05,Antioquia,05001,Medellín,2025,Total,"2,634,570"
05,Antioquia,05001,Medellín,2026,Cabecera Municipal,"2,609,841"
05,Antioquia,05001,Medellín,2026,Centros Poblados y Rural Disperso,"40,821"
05,Antioquia,05001,Medellín,2026,Total,"2,650,662"
05,Antioquia,05001,Medellín,2027,Cabecera Municipal,"2,624,783"
05,Antioquia,05001,Medellín,2027,Centros Poblados y Rural Disperso,"40,691"
05,Antioquia,05001,Medellín,2027,Total,"2,665,474"
05,Antioquia,05001,Medellín,2028,Cabecera Municipal,"2,638,734"
05,Antioquia,05001,Medellín,2028,Centros Poblados y Rural Disperso,"40,642"
05,Antioquia,05001,Medellín,2028,Total,"2,679,376"
05,Antioquia,05001,Medellín,2029,Cabecera Municipal,"2,651,875"
05,Antioquia,05001,Medellín,2029,Centros Poblados y Rural Disperso,"40,725"
05,Antioquia,05001,Medellín,2029,Total,"2,692,600"
05,Antioquia,05001,Medellín,2030,Cabecera Municipal,"2,664,474"
05,Antioquia,05001,Medellín,2030,Centros Poblados y Rural Disperso,"40,908"
05,Antioquia,05001,Medellín,2030,Total,"2,705,382"
05,Antioquia,05001,Medellín,2031,Cabecera Municipal,"2,676,581"
05,Antioquia,05001,Medellín,2031,Centros Poblados y Rural Disperso,"41,139"
05,Antioquia,05001,Medellín,2031,Total,"2,717,720"
05,Antioquia,05001,Medellín,2032,Cabecera Municipal,"2,688,112"
05,Antioquia,05001,Medellín,2032,Centros Poblados y Rural Disperso,"41,392"
05,Antioquia,05001,Medellín,2032,Total,"2,729,504"
05,Antioquia,05001,Medellín,2033,Cabecera Municipal,"2,698,987"
05,Antioquia,05001,Medellín,2033,Centros Poblados y Rural Disperso,"41,626"
05,Antioquia,05001,Medellín,2033,Total,"2,740,613"
05,Antioquia,05001,Medellín,2034,Cabecera Municipal,"2,709,188"
05,Antioquia,05001,Medellín,2034,Centros Poblados y Rural Disperso,"41,864"
05,Antioquia,05001,Medellín,2034,Total,"2,751,052"
05,Antioquia,05001,Medellín,2035,Cabecera Municipal,"2,718,758"
05,Antioquia,05001,Medellín,2035,Centros Poblados y Rural Disperso,"42,096"
05,Antioquia,05001,Medellín,2035,Total,"2,760,854"
05,Antioquia,05002,Abejorral,2020,Cabecera Municipal,"8,119"
05,Antioquia,05002,Abejorral,2020,Centros Poblados y Rural Disperso,"12,704"
05,Antioquia,05002,Abejorral,2020,Total,"20,823"
05,Antioquia,05002,Abejorral,2021,Cabecera Municipal,"8,499"
05,Antioquia,05002,Abejorral,2021,Centros Poblados y Rural Disperso,"12,425"
05,Antioquia,05002,Abejorral,2021,Total,"20,924"
05,Antioquia,05002,Abejorral,2022,Cabecera Municipal,"8,799"
05,Antioquia,05002,Abejorral,2022,Centros Poblados y Rural Disperso,"12,310"
05,Antioquia,05002,Abejorral,2022,Total,"21,109"
05,Antioquia,05002,Abejorral,2023,Cabecera Municipal,"9,072"
05,Antioquia,05002,Abejorral,2023,Centros Poblados y Rural Disperso,"12,225"
05,Antioquia,05002,Abejorral,2023,Total,"21,297"
05,Antioquia,05002,Abejorral,2024,Cabecera Municipal,"9,248"
05,Antioquia,05002,Abejorral,2024,Centros Poblados y Rural Disperso,"12,220"
