Year;fossil fuel and industry;land-use change emissions;atmospheric growth;ocean sink;land sink;budget imbalance
1750;;;-0,08;;0,09;
1751;0;;-0,07;;-0,53;
1752;0;;-0,07;;-0,27;
1753;0;;-0,07;;-0,17;
1754;0;;-0,06;;-0,33;
1755;0;;-0,06;;-0,02;
1756;0;;-0,05;;0,43;
1757;0;;-0,04;;0,52;
1758;0;;-0,03;;-0,07;
1759;0;;-0,01;;-0,54;
1760;0;;0;;0,12;
1761;0;;0,02;;-0,58;
1762;0;;0,04;;-0,53;
1763;0;;0,06;;0,4;
1764;0;;0,09;;0,4;
1765;0;;0,11;;-0,3;
1766;0;;0,14;;0,38;
1767;0;;0,16;;0,28;
1768;0;;0,17;;0,32;
1769;0;;0,19;;0,05;
1770;0;;0,2;;0,13;
1771;0;;0,22;;-0,35;
1772;0;;0,23;;-0,06;
1773;0;;0,23;;0,01;
1774;0;;0,24;;-0,2;
1775;0;;0,24;;0,01;
1776;0;;0,25;;0,5;
1777;0;;0,26;;0,64;
1778;0;;0,27;;-0,02;
1779;0;;0,28;;-0,21;
1780;0;;0,29;;0,32;
1781;0,01;;0,31;0,07;-0,6;
1782;0,01;;0,35;0,08;-0,3;
1783;0,01;;0,38;0,09;0,75;
1784;0,01;;0,41;0,1;0,7;
1785;0,01;;0,43;0,1;-0,03;
1786;0,01;;0,45;0,12;0,59;
1787;0,01;;0,47;0,12;0,44;
1788;0,01;;0,48;0,13;0,52;
1789;0,01;;0,49;0,13;0,25;
1790;0,01;;0,49;0,14;0,5;
1791;0,01;;0,5;0,15;-0,17;
1792;0,01;;0,49;0,15;0,11;
1793;0,01;;0,49;0,16;0;
1794;0,01;;0,48;0,16;0,23;
1795;0,01;;0,47;0,16;0,25;
1796;0,01;;0,45;0,16;0,79;
1797;0,01;;0,44;0,17;0,94;
1798;0,01;;0,42;0,17;0,29;
1799;0,01;;0,4;0,17;0,03;
1800;0,01;;0,38;0,17;0,56;
1801;0,01;;0,36;0,17;-0,11;
1802;0,01;;0,34;0,17;-0,03;
1803;0,01;;0,32;0,17;0,91;
1804;0,01;;0,3;0,17;0,81;
1805;0,01;;0,28;0,17;0,08;
1806;0,01;;0,25;0,17;0,72;
1807;0,01;;0,23;0,17;0,62;
1808;0,01;;0,2;0,17;0,56;
1809;0,01;;0,17;0,17;0,54;
1810;0,01;;0,15;0,17;0,59;
1811;0,01;;0,12;0,17;-0,2;
1812;0,01;;0,08;0,17;0,17;
1813;0,01;;0,05;0,17;0,17;
1814;0,01;;0,02;0,16;0,04;
1815;0,01;;-0,01;0,16;0,27;
1816;0,01;;-0,04;0,16;0,7;
1817;0,01;;-0,07;0,16;0,84;
1818;0,01;;-0,08;0,16;0,14;
1819;0,01;;-0,1;0,15;-0,18;
1820;0,01;;-0,1;0,15;0,49;
1821;0,01;;-0,1;0,15;-0,3;
1822;0,02;;-0,09;0,15;-0,28;
1823;0,02;;-0,08;0,14;0,6;
1824;0,02;;-0,05;0,14;0,63;
1825;0,02;;-0,03;0,14;-0,02;
1826;0,02;;0,01;0,14;0,49;
1827;0,02;;0,04;0,14;0,49;
1828;0,02;;0,07;0,14;0,56;
1829;0,02;;0,09;0,14;0,28;
1830;0,02;;0,11;0,13;0,33;
1831;0,02;;0,12;0,13;-0,16;
1832;0,02;;0,14;0,13;0,07;
1833;0,02;;0,15;0,13;0,2;
1834;0,02;;0,16;0,13;0;
1835;0,03;;0,18;0,13;0,27;
1836;0,03;;0,21;0,13;0,72;
1837;0,03;;0,24;0,13;0,71;
1838;0,03;;0,27;0,14;-0,02;
1839;0,03;;0,32;0,14;-0,1;
1840;0,03;;0,36;0,13;0,43;
1841;0,03;;0,41;0,14;-0,48;
1842;0,04;;0,45;0,14;-0,12;
1843;0,04;;0,48;0,14;0,84;
1844;0,04;;0,48;0,14;0,86;
1845;0,04;;0,46;0,14;0,02;
1846;0,04;;0,42;0,15;0,58;
1847;0,05;;0,38;0,15;0,52;
1848;0,05;;0,32;0,16;0,67;
1849;0,05;;0,26;0,16;0,41;
1850;0,05;0,69;0,19;0,16;0,56;-0,17
1851;0,05;0,69;0,13;0,17;-0,02;0,47
1852;0,06;0,7;0,07;0,17;0,27;0,25
1853;0,06;0,7;0,01;0,17;0,08;0,5
1854;0,07;0,7;-0,04;0,17;0,18;0,46
1855;0,07;0,71;-0,06;0,18;0,14;0,52
1856;0,08;0,71;-0,06;0,18;0,61;0,06
1857;0,08;0,72;-0,05;0,19;0,84;-0,18
1858;0,08;0,72;-0,04;0,2;0,21;0,43
1859;0,08;0,73;-0,01;0,2;-0,03;0,65
1860;0,09;0,7;0,01;0,2;0,44;0,13
1861;0,1;0,69;0,05;0,21;-0,39;0,91
1862;0,1;0,68;0,09;0,22;-0,14;0,6
1863;0,1;0,68;0,15;0,23;0,79;-0,38
1864;0,11;0,68;0,21;0,23;0,64;-0,28
1865;0,12;0,68;0,27;0,24;-0,03;0,32
1866;0,12;0,68;0,33;0,24;0,64;-0,43
1867;0,13;0,67;0,39;0,25;0,55;-0,39
1868;0,14;0,67;0,43;0,26;0,53;-0,41
1869;0,14;0,67;0,46;0,27;0,43;-0,34
1870;0,15;0,74;0,48;0,27;0,56;-0,43
1871;0,16;0,77;0,49;0,28;-0,14;0,29
1872;0,17;0,79;0,5;0,29;0,2;-0,02
1873;0,18;0,81;0,49;0,3;0,21;0
1874;0,17;0,83;0,46;0,3;0,22;0,01
1875;0,19;0,84;0,43;0,31;0,34;-0,05
1876;0,19;0,85;0,41;0,32;0,83;-0,52
1877;0,19;0,86;0,4;0,34;0,9;-0,58
1878;0,2;0,87;0,41;0,34;0,42;-0,11
1879;0,21;0,88;0,44;0,35;0,11;0,19
1880;0,24;0,88;0,47;0,36;0,68;-0,39
1881;0,24;0,89;0,5;0,37;-0,1;0,36
1882;0,26;0,9;0,54;0,38;0,01;0,22
