ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;ESTU_ESTUDIANTE;ESTU_PAIS_RESIDE;ESTU_DEPTO_RESIDE;ESTU_MCPIO_RESIDE;ESTU_ESTADOCIVIL;ESTU_TITULOOBTENIDOBACHILLER;ESTU_ANO_EXAMENESTADO_SB11;ESTU_SEMESTRE_EXAMENESTADOSB11;ESTU_PORCENTAJECREDITOSAPROB;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_TOMO_CURSOPREPARACION;ESTU_SIMULACROTIPOICFES;ESTU_ACTIVIDADREFUERZOAREAS;ESTU_ACTIVIDADREFUERZOGENERIC;ESTU_SEMESTRECURSA;FAMI_HOGARACTUAL;FAMI_CABEZAFAMILIA;FAMI_NUMPERSONASACARGO;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_OCUPACIONPADRE;FAMI_OCUPACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_NIVEL_SISBEN;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_PISOS_HOGAR;FAMI_TIENEINTERNET;FAMI_TIENE_SERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENE_MICROONDAS;FAMI_TIENE_HORNO;FAMI_TIENEAUTOMOVIL;FAMI_TIENE_DVD;FAMI_TIENE_NEVERA;FAMI_TIENE_CELULAR;FAMI_TELEFONO;FAMI_INGRESO_FMILIAR_MENSUAL;ESTU_TRABAJA_ACTUALMENTE;INST_NOMBRE_INSTITUCION;ESTU_PRGM_ACADEMICO;GRUPOREFERENCIA;ESTU_PRGM_MUNICIPIO;ESTU_PRGM_DEPARTAMENTO;ESTU_NIVEL_PRGM_ACADEMICO;ESTU_METODO_PRGM;ESTU_NUCLEO_PREGRADO;ESTU_INST_MUNICIPIO;ESTU_INST_DEPARTAMENTO;INST_CARACTER_ACADEMICO;INST_ORIGEN;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;MOD_RAZONA_CUANTITAT_PUNT;MOD_RAZONA_CUANTITATIVO_PNAL;MOD_RAZONA_CUANTITATIVO_PGREF;MOD_LECTURA_CRITICA_PUNT;MOD_LECTURA_CRITICA_PNAL;MOD_LECTURA_CRITICA_PGREF;MOD_COMPETEN_CIUDADA_PUNT;MOD_COMPETEN_CIUDADA_PNAL;MOD_COMPETEN_CIUDADA_PGREF;MOD_INGLES_PUNT;MOD_INGLES_DESEM;MOD_INGLES_PNAL;MOD_INGLES_PGREF;MOD_COMUNI_ESCRITA_PUNT;MOD_COMUNI_ESCRITA_DESEM;MOD_COMUNI_ESCRITA_PNAL;MOD_COMUNI_ESCRITA_PGREF;PUNT_GLOBAL;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL
COLOMBIA;F;02/03/1970;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;1995;Segundo semestre;M†s del 90%;No pag¢ matr°cula;No;No;No;No;3;Es temporal por razones de estudio u otra raz¢n;Si;Dos;Primaria incompleta;Secundaria (Bachillerato) incompleta;Empleado obrero u operario;Pensionado;Estrato 2;Nivel 1;Tres;Uno;Cemento, gravilla, ladrillo;Si;No;Si;Si;No;No;No;No;Si;Si;Si;Menos de 1 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN REGENCIA DE FARMACIA;TECNOLOGICO EN SALUD;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;DISTANCIA;INGENIERIA QUIMICA Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;71;8;11;81;17;19;97;43;45;92;A1;39;48;57;1;3;3;80;9;46.777576
COLOMBIA;M;02/02/1964;ESTUDIANTE;COLOMBIA;CALDAS;LA DORADA;Separado y/o Divorciado;Bachiller acadÇmico;2010;Primer semestre;M†s del 90%;Entre 3 millones y menos de 5 millones;No;No;No;No;7;Es temporal por razones de estudio u otra raz¢n;Si;Cinco;Primaria incompleta;Primaria incompleta;Director o Gerente General;Hogar;Estrato 1;Nivel 1;Dos;Cuatro;Cemento, gravilla, ladrillo;No;No;Si;No;No;No;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTµ D.C.;TECNOLOGIA EN GESTION CONTABLE Y FINANCIERA;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;SAN SEBASTIµN DE MARIQUITA;TOLIMA;TECNOLOG÷A;DISTANCIA;CONTADURIA PUBLICA;BOGOTµ, D.C.;BOGOTA;TêCNICA PROFESIONAL;NO OFICIAL - CORPORACI‡N;LA DORADA;CALDAS;17;101;52;54;98;47;46;105;58;57;126;B1;89;90;86;2;24;22;103;60;37.761032
COLOMBIA;F;17/06/1997;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2014;Segundo semestre;Entre el 81% y el 90%;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado de nivel tÇcnico o profesional;Hogar;Estrato 2;Nivel 2;Seis;Dos;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;Si;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN CONTABILIDAD Y FINANZAS;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;DISTANCIA;CONTADURIA PUBLICA;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;74;11;11;108;66;66;103;55;53;100;A1;55;57;107;3;62;59;98;46;58.909958
COLOMBIA;M;07/10/1991;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2009;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;4;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado obrero u operario;Empleado obrero u operario;Estrato 2;No est† clasificada por el SISBEN;Dos;Dos;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;No;Si;Si;No;Si;Entre 2 y menos de 3 SMLV;Si, para adquirir experiencia y/o recursos para sus gastos personales;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN CONTABILIDAD Y FINANZAS;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;DISTANCIA;CONTADURIA PUBLICA;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;105;59;62;92;35;35;95;39;38;89;A1;33;34;93;2;32;29;95;38;50.542561
COLOMBIA;F;20/04/1984;ESTUDIANTE;COLOMBIA;VALLE;BUENAVENTURA;Casado;Bachiller acadÇmico;2012;Primer semestre;No sigue el sistema de crÇditos;Entre 500 mil y menos de 1 mill¢n;No;No;No;No;6;Es habitual o permanente;No;Cinco;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Empleado obrero u operario;Directivo;Estrato 2;Nivel 1;Cinco;Cinco;M†rmol, madera pulida, alfombra, tapete pared a pared;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTµ D.C.;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;TECNICO EN ADMINISTRACI‡N Y TURISMO;BUENAVENTURA;VALLE;TêCNICO PROFESIONAL;DISTANCIA;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;TêCNICA PROFESIONAL;NO OFICIAL - CORPORACI‡N;BUENAVENTURA;VALLE;76;78;15;14;99;49;49;100;49;49;94;A1;43;46;54;1;3;2;85;16;68.579826
COLOMBIA;M;26/11/1996;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2013;Segundo semestre;No sigue el sistema de crÇditos;Entre 1 mill¢n y menos de 3 millones;No;No;No;No;4;Es temporal por razones de estudio u otra raz¢n;No;Una;Secundaria (Bachillerato) incompleta;TÇcnica o tecnol¢gica completa;Empleado obrero u operario;Hogar;Estrato 2;Nivel 2;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;No;Si;Si;Si;No;No;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;FUNDACION CENTRO DE INVESTIGACION DOCENCIA Y CONSULTORIA ADMINISTRATIVA-F-CIDCA-BOGOTµ D.C.;TECNICA PROFESIONAL EN MANTENIMIENTO ELECTROMECANICO;TECNICO EN INGENIER÷A, INDUSTRIA Y MINAS;BOGOTµ, D.C.;BOGOTA;TêCNICO PROFESIONAL;PRESENCIAL;INGENIERIA ELECTRICA Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;NO OFICIAL - FUNDACI‡N;BOGOTµ, D.C.;BOGOTA;11;112;72;68;103;57;62;118;81;85;101;A1;57;57;53;1;2;3;97;44;48.447414
COLOMBIA;M;27/02/1996;ESTUDIANTE;COLOMBIA;BOLIVAR;CARTAGENA DE INDIAS;Soltero;Bachiller acadÇmico;2012;Segundo semestre;M†s del 90%;Entre 1 mill¢n y menos de 3 millones;No;No;No;No;5;Es habitual o permanente;No;Ninguna;Educaci¢n profesional completa;Educaci¢n profesional completa;Directivo;Empleado obrero u operario;Estrato 2;Nivel 1;Seis;Dos;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;No;No;No;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA      -CARTAGENA;TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL;TECNOLOGICO EN SALUD;CARTAGENA DE INDIAS;BOLIVAR;TECNOLOG÷A;PRESENCIAL;INGENIERIA INDUSTRIAL Y AFINES;CARTAGENA DE INDIAS;BOLIVAR;INSTITUCI‡N UNIVERSITARIA;NO OFICIAL - FUNDACI‡N;CARTAGENA DE INDIAS;BOLIVAR;13;96;43;35;99;49;48;101;51;51;87;A1;29;28;84;2;21;24;93;33;56.71693
COLOMBIA;M;19/05/1997;ESTUDIANTE;COLOMBIA;ANTIOQUIA;MEDELL÷N;Soltero;Bachiller tÇcnico;2014;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;3;Es temporal por razones de estudio u otra raz¢n;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Trabajador por cuenta propia;Hogar;Estrato 3;Nivel 2;Cinco;Cinco;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Menos de 1 SMLV;Si, para adquirir experiencia y/o recursos para sus gastos personales;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N DE REDES DE DATOS;TECNOLOGICO EN TIC;MEDELL÷N;ANTIOQUIA;TECNOLOG÷A;DISTANCIA;SIN CLASIFICAR;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;RIONEGRO;ANTIOQUIA;5;88;29;22;98;47;42;105;58;56;75;-A1;10;7;98;2;44;48;93;33;57.455742
COLOMBIA;F;17/04/1976;ESTUDIANTE;COLOMBIA;ANTIOQUIA;BELLO;Casado;Bachiller acadÇmico;1997;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;Si;Si;No;No;4;Es habitual o permanente;No;Ninguna;Ninguno;Primaria incompleta;Otra actividad u ocupaci¢n;Pensionado;Estrato 1;Nivel 3;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N INTEGRADA DE LA CALIDAD, MEDIO AMBIENTE, SEGURIDAD Y SALUD OCUPACIONAL;TECNOLOGICO EN SALUD;ITAGö÷;ANTIOQUIA;TECNOLOG÷A;DISTANCIA;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BELLO;ANTIOQUIA;5;93;37;39;84;22;21;99;47;45;86;A1;27;28;63;1;5;4;85;16;53.933052
COLOMBIA;M;12/02/1995;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2011;Primer semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Primaria incompleta;Primaria incompleta;Trabajador por cuenta propia;Hogar;Estrato 3;Nivel 1;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;No;No;No;Si;Si;No;Entre 1 y menos de 2 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN ENTRENAMIENTO DEPORTIVO;RECREACI‡N Y DEPORTES TYT;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;PRESENCIAL;EDUCACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;114;75;77;117;80;85;90;31;35;90;A1;35;36;124;4;91;91;107;70;47.594009
