EstuyPro;EstuyDirPro;EstuyDirFac;EstuyRepre;EstuyAdm;Estu;Carrera
2;1;1;1;1;1;Econ
1;1;0;0;2;1;Econ
1;2;1;1;1;1;Admon
1;1;0;0;1;1;Econ
2;1;1;1;1;1;Admon
0;1;1;1;0;1;Econ
2;0;0;1;2;2;Admon
1;1;0;0;1;2;Econ
1;1;0;0;0;1;Econ
1;0;0;0;1;2;Econ
1;1;1;1;1;1;Econ
1;0;0;0;0;1;Econ
1;0;0;0;0;1;Econ
2;1;1;0;1;1;Econ
1;0;0;0;0;2;Econ
1;1;1;0;0;1;Econ
1;1;1;1;1;1;Econ
2;0;2;0;2;2;Admon
1;1;1;1;1;1;Econ
1;0;0;1;1;1;Econ
1;0;0;0;1;1;Econ
1;1;1;0;0;1;Econ
1;1;1;0;1;1;Econ
1;1;0;0;1;1;Econ
0;0;0;1;0;2;Econ
1;0;0;0;0;2;Econ
1;0;0;1;1;2;Econ
2;2;2;2;2;2;Admon
1;0;0;0;0;1;Econ
1;1;0;0;0;1;Econ
2;1;1;1;1;2;Admon
1;1;1;1;1;1;Econ
1;1;1;1;1;1;Econ
1;1;1;1;1;1;Econ
2;2;2;2;2;2;Admon
1;0;0;0;0;1;Econ
1;1;1;1;1;1;Econ
1;1;1;1;1;0;Econ
2;2;2;2;2;2;Admon
2;0;0;0;0;1;Econ
2;0;0;0;1;2;Econ
1;0;0;0;1;1;Econ
1;1;1;1;1;1;Econ
1;1;0;0;1;1;Econ
1;1;1;1;1;1;Econ
1;1;0;0;1;1;Econ
1;0;0;0;0;1;Econ
1;1;1;1;1;1;Econ
1;1;1;1;1;1;Econ
1;1;0;0;1;1;Econ
1;1;1;1;1;1;Econ
1;2;2;2;1;1;Admon
1;1;1;1;1;1;Econ
2;0;0;1;1;1;Econ
1;1;1;1;1;1;Econ
2;2;1;0;1;2;Admon
2;1;1;1;1;1;Admon
1;1;1;1;1;2;Admon
2;2;2;2;2;2;Admon
2;0;0;0;1;1;Econ
1;1;1;0;0;2;Econ
2;1;1;0;1;2;Admon
2;2;2;2;2;2;Econ
2;2;2;2;2;2;Econ
1;0;0;1;1;1;Econ
2;1;0;0;0;2;Econ
2;2;2;2;2;1;Admon
1;1;1;1;1;2;Econ
1;1;1;0;0;1;Econ
1;1;0;0;1;1;Econ
2;2;2;2;2;2;Admon
1;0;0;0;0;1;Econ
1;1;1;0;1;2;Econ
1;1;1;1;1;1;Econ
2;2;2;2;2;2;Admon
2;2;2;2;2;2;Econ
1;1;2;1;0;2;Admon
2;2;2;2;2;2;Econ
0;0;0;0;0;1;Econ
1;1;1;0;1;1;Econ
1;2;2;2;2;1;Admon
1;1;1;0;1;1;Econ
1;1;1;1;0;1;Econ
1;1;1;1;1;1;Econ
1;1;1;1;1;1;Econ
1;0;0;1;1;1;Econ
1;1;0;0;0;1;Econ
1;0;0;0;1;0;Econ
1;1;1;1;1;1;Econ
1;0;0;1;1;1;Econ
1;0;0;1;1;2;Econ
1;1;1;1;1;2;Econ
1;0;0;0;0;1;Econ
1;1;1;2;1;0;Econ
1;1;1;1;1;1;Econ
1;2;2;0;2;1;Admon
2;2;1;1;2;2;Admon
2;2;2;1;1;2;Admon
2;0;1;0;0;1;Econ
1;2;1;1;1;1;Admon
1;0;0;1;2;1;Econ
1;0;0;0;0;1;Econ
2;1;0;1;0;1;Econ
2;2;2;2;2;2;Econ
1;0;0;1;1;2;Econ
1;1;1;1;1;1;Econ
2;1;1;0;1;2;Admon
1;2;2;2;1;1;Admon
1;1;1;0;0;2;Econ
2;1;1;0;1;2;Admon
2;1;1;1;2;2;Admon
1;1;1;1;1;1;Econ
1;1;1;1;1;1;Econ
1;1;1;1;1;1;Econ
